sub_id,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7
004_166,3.1190450918058223,7.040614231969379,9.999837502958883,9.999853397930138,10.0,9.999999996888107,-10.0
004_167,3.118353570204525,7.028172262282253,9.999838992709943,9.999890663585418,-10.0,-9.99999996679749,-10.0
004_168,3.1175501321493075,7.038570051832921,9.99993274863112,9.999921754034494,-10.0,-9.99999998087021,-10.0
004_169,3.1199919782059484,7.040735731384911,9.999980448734267,9.999963328793179,-10.0,-9.999999989119628,-10.0
004_17,3.1258009067846304,7.058255407528942,9.999830277175013,9.999920211024499,-10.0,-9.999999977816191,-10.0
004_170,3.1092928650122182,7.009565881050279,9.999958743084566,9.999939495458388,-10.0,9.999999999553866,-10.0
004_171,3.1186646804316043,7.03351787088805,9.99983997007132,9.999886732013026,-10.0,-9.999999967873093,-10.0
004_172,3.119020697671681,7.042195077764156,9.999943162049256,9.999934566920436,-10.0,-9.999999982999931,-10.0
004_173,3.118365094282591,7.034025440995501,9.999593101560174,9.99979809012168,-10.0,-9.99999993941922,10.0
004_174,3.1225959081646657,7.05166540664572,9.999922026373998,9.999961460632711,-10.0,-9.999999988723385,-10.0
004_175,3.114654574283732,7.024558972210203,9.999570464972503,9.999586371402271,10.0,-9.999999987380352,-10.0
004_176,3.122678410755047,7.050304897021534,9.999867014775605,9.999884866350788,-10.0,-9.99999996861404,-10.0
004_177,3.1096221402252042,7.029032155372783,9.999979662847647,9.999979100161942,-10.0,-9.999999995262954,10.0
004_178,3.1075162895887596,6.998174468029891,9.999920688170555,9.999909661987996,-10.0,-9.99999998805404,-10.0
004_179,3.1122344011857743,7.017698023070175,9.999693460730649,9.999812817355572,-10.0,-9.999999959002928,-10.0
004_18,3.116762879532898,7.0368285925234435,9.999890346873853,9.999887049675422,-10.0,-9.999999983859585,-10.0
004_180,3.1179461055008546,7.036160182688973,9.999838262087987,9.99992270611955,-10.0,-9.999999977511893,10.0
004_181,3.0967920215279423,6.966760101267091,9.999616670091116,9.999717296654378,-10.0,9.999999956031061,-10.0
